Thrid_library,version
actioncable,5.2.8.1
actionmailer,5.2.8.1
actionpack,5.2.8.1
actionview,5.2.8.1
activejob,5.2.8.1
activemodel,5.2.8.1
activerecord,5.2.8.1
activestorage,5.2.8.1
activesupport,5.2.8.1
arel,9.0.0
bootsnap,1.18.3
builder,3.3.0
concurrent-ruby,1.3.3
crass,1.0.6
date,3.3.4
erubi,1.13.0
globalid,1.1.0
i18n,1.14.5
loofah,2.22.0
mail,2.8.1
marcel,1.0.4
method_source,1.1.0
mini_mime,1.1.5
minitest,5.23.1
msgpack,1.7.2
net-imap,0.4.12
net-pop,0.1.2
net-protocol,0.2.2
net-smtp,0.5.0
nio4r,2.7.3
nokogiri,1.16.6-aarch64-linux
nokogiri,1.16.6-arm-linux
nokogiri,1.16.6-arm64-darwin
nokogiri,1.16.6-x86-linux
nokogiri,1.16.6-x86_64-darwin
nokogiri,1.16.6-x86_64-linux
racc,1.8.0
rack,2.2.9
rack-test,2.1.0
rails,5.2.8.1
rails-dom-testing,2.2.0
rails-html-sanitizer,1.6.0
railties,5.2.8.1
rake,13.2.1
sprockets,4.2.1
sprockets-rails,3.4.2
sqlite3,2.0.2-aarch64-linux-gnu
sqlite3,2.0.2-aarch64-linux-musl
sqlite3,2.0.2-arm-linux-gnu
sqlite3,2.0.2-arm-linux-musl
sqlite3,2.0.2-arm64-darwin
sqlite3,2.0.2-x86-linux-gnu
sqlite3,2.0.2-x86-linux-musl
sqlite3,2.0.2-x86_64-darwin
sqlite3,2.0.2-x86_64-linux-gnu
sqlite3,2.0.2-x86_64-linux-musl
thor,1.3.1
thread_safe,0.3.6
timeout,0.4.1
tzinfo,1.2.11
websocket-driver,0.7.6
websocket-extensions,0.1.5